"Ranking","Name","Year","Minutes","Genre","Rating","Votes","Gross"
"66.","Gravity","(2013)","91 min","Drama, Sci-Fi, Thriller","7.7","826,295","$274.09M"
"67.","Sunset Blvd.","(1950)","110 min","Drama, Film-Noir","8.4","222,690",""
"68.","King Kong","(1933)","100 min","Adventure, Horror, Sci-Fi","7.9","86,311","$10.00M"
"69.","Toy Story","(1995)","81 min","Animation, Adventure, Comedy","8.3","991,954","$191.80M"
"70.","Rear Window","(1954)","112 min","Mystery, Thriller","8.5","491,937","$36.76M"
"71.","Rashomon","(1950)","88 min","Crime, Drama, Mystery","8.2","169,440","$0.10M"
"72.","The Adventures of Robin Hood","(1938)","102 min","Action, Adventure, Romance","7.9","51,609","$3.98M"
"73.","A Hard Day's Night","(1964)","87 min","Comedy, Musical","7.5","45,672","$13.78M"
"74.","Bride of Frankenstein","(1935)","75 min","Drama, Horror, Sci-Fi","7.8","49,517","$4.36M"
"75.","M","(1931)","117 min","Crime, Mystery, Thriller","8.3","158,782","$0.03M"
"76.","The Philadelphia Story","(1940)","112 min","Comedy, Romance","7.9","69,931",""
"77.","The Treasure of the Sierra Madre","(1948)","126 min","Adventure, Drama, Western","8.2","125,705","$5.01M"
"78.","All Quiet on the Western Front","(1930)","152 min","Drama, War","8.1","63,205","$3.27M"
"79.","Bicycle Thieves","(1948)","89 min","Drama","8.3","164,351","$0.33M"
"80.","The Graduate","(1967)","106 min","Comedy, Drama, Romance","8","274,457","$104.95M"
"81.","Army of Shadows","(1969)","145 min","Drama, War","8.1","23,945","$0.74M"
"82.","A Streetcar Named Desire","(1951)","122 min","Drama","7.9","109,083","$8.00M"
"83.","The Night of the Hunter","(1955)","92 min","Crime, Drama, Film-Noir","8","90,277","$0.65M"
"84.","One Flew Over the Cuckoo's Nest","(1975)","133 min","Drama","8.7","1,006,194","$112.00M"
"85.","Rebecca","(1940)","130 min","Drama, Film-Noir, Mystery","8.1","138,092","$4.36M"
"86.","Selma","(2014)","128 min","Biography, Drama, History","7.5","92,112","$52.08M"
"87.","Rosemary's Baby","(1968)","137 min","Drama, Horror","8","218,496",""
"88.","Frankenstein","(1931)","70 min","Drama, Horror, Sci-Fi","7.8","74,068",""
"89.","The General","(1926)","67 min","Action, Adventure, Comedy","8.2","92,157","$1.03M"
"90.","The Conformist","(1970)","113 min","Drama","7.9","31,021","$0.54M"
"91.","Touch of Evil","(1958)","95 min","Crime, Drama, Film-Noir","8","105,312","$2.24M"
"92.","Annie Hall","(1977)","93 min","Comedy, Romance","8","266,637","$39.20M"
"93.","It's a Wonderful Life","(1946)","130 min","Drama, Family, Fantasy","8.6","456,120",""
"94.","The Day the Earth Stood Still","(1951)","92 min","Drama, Sci-Fi","7.8","82,531",""
"95.","The Hurt Locker","(2008)","131 min","Drama, Thriller, War","7.5","453,147","$17.02M"
"96.","L.A. Confidential","(1997)","138 min","Crime, Drama, Mystery","8.2","583,648","$64.62M"
"97.","Mad Max: Fury Road","(2015)","120 min","Action, Adventure, Sci-Fi","8.1","1,000,410","$154.06M"
"98.","Pinocchio","(1940)","88 min","Animation, Adventure, Comedy","7.5","148,337","$84.25M"
"99.","The 39 Steps","(1935)","86 min","Crime, Mystery, Thriller","7.6","57,755",""
"100.","Rome, Open City","(1945)","103 min","Drama, Thriller, War","8","26,954",""
"101.","Tokyo Story","(1953)","136 min","Drama","8.2","62,373",""
"102.","The Last Picture Show","(1971)","118 min","Drama, Romance","8","48,916","$29.13M"
"103.","The Grapes of Wrath","(1940)","129 min","Drama","8.1","93,962","$0.06M"
"104.","To Kill a Mockingbird","(1962)","129 min","Crime, Drama","8.3","317,433",""
"105.","Mr. Smith Goes to Washington","(1939)","129 min","Comedy, Drama","8.1","116,353","$9.60M"
"106.","The Wages of Fear","(1953)","131 min","Adventure, Drama, Thriller","8.2","61,812",""
"107.","Patton","(1970)","172 min","Biography, Drama, War","7.9","102,929","$61.70M"
"108.","Roman Holiday","(1953)","118 min","Comedy, Romance","8","139,459",""
"109.","High Noon","(1952)","85 min","Drama, Thriller, Western","8","105,103","$9.45M"
"110.","Double Indemnity","(1944)","107 min","Crime, Drama, Film-Noir","8.3","158,194","$5.72M"
"111.","Forrest Gump","(1994)","142 min","Drama, Romance","8.8","2,069,583","$330.25M"
"112.","The Silence of the Lambs","(1991)","118 min","Crime, Drama, Thriller","8.6","1,428,301","$130.74M"
"113.","There Will Be Blood","(2007)","158 min","Drama","8.2","586,906","$40.22M"
"114.","Die Hard","(1988)","132 min","Action, Thriller","8.2","876,064","$83.01M"
"115.","Fargo","(1996)","98 min","Crime, Thriller","8.1","678,339","$24.61M"
"116.","American Beauty","(1999)","122 min","Drama","8.4","1,153,783","$130.10M"
"117.","The Matrix","(1999)","136 min","Action, Sci-Fi","8.7","1,906,995","$171.48M"
"118.","The Bridge on the River Kwai","(1957)","161 min","Adventure, Drama, War","8.2","221,719","$44.91M"
"119.","The Best Years of Our Lives","(1946)","170 min","Drama, Romance, War","8.1","65,236","$23.65M"
"120.","Roma","(2018)","135 min","Drama","7.7","159,179",""
"121.","White Heat","(1949)","114 min","Action, Crime, Drama","8.1","33,420",""
"122.","The Sound of Music","(1965)","172 min","Biography, Drama, Family","8.1","235,538","$163.21M"
"123.","Inception","(2010)","148 min","Action, Adventure, Sci-Fi","8.8","2,341,880","$292.58M"
"124.","Bonnie and Clyde","(1967)","111 min","Action, Biography, Crime","7.7","114,067",""
"125.","Midnight Cowboy","(1969)","113 min","Drama","7.8","111,988","$44.79M"
"126.","Shane","(1953)","118 min","Drama, Western","7.6","41,363","$20.00M"
"127.","Intolerance: Love's Struggle Throughout the Ages","(1916)","163 min","Drama, History","7.7","15,763","$2.18M"
"128.","Man on Wire","(2008)","94 min","Documentary, Biography, Crime","7.7","56,386","$2.96M"
"129.","Battleship Potemkin","(1925)","75 min","Drama, History, Thriller","7.9","58,318","$0.05M"
"130.","Anatomy of a Murder","(1959)","161 min","Drama, Mystery","8","66,990","$11.90M"
"131.","The Leopard","(1963)","186 min","Drama, History","8","26,364",""
"132.","The Lady Vanishes","(1938)","96 min","Mystery, Thriller","7.8","53,304",""
"133.","Cool Hand Luke","(1967)","127 min","Crime, Drama","8.1","178,240","$16.22M"
"134.","The Usual Suspects","(1995)","106 min","Crime, Drama, Mystery","8.5","1,083,575","$23.34M"
"135.","The Shining","(1980)","146 min","Drama, Horror","8.4","1,020,153","$44.02M"
"136.","City of God","(2002)","130 min","Crime, Drama","8.6","756,103","$7.56M"
"137.","Heat","(1995)","170 min","Action, Crime, Drama","8.3","654,489","$67.44M"
"138.","Kind Hearts and Coronets","(1949)","106 min","Comedy, Crime","8","37,740",""
"139.","The Big Lebowski","(1998)","117 min","Comedy, Crime","8.1","808,436","$17.50M"
"140.","La dolce vita","(1960)","174 min","Comedy, Drama","8","73,902","$19.52M"
"141.","Fantasia","(1940)","125 min","Animation, Family, Fantasy","7.7","97,471","$76.41M"
"142.","No Country for Old Men","(2007)","122 min","Crime, Drama, Thriller","8.2","971,259","$74.28M"
"143.","This Is Spinal Tap","(1984)","82 min","Comedy, Music","7.9","140,602","$4.74M"
"144.","Three Colours: Red","(1994)","99 min","Drama, Mystery, Romance","8.1","103,968","$4.04M"
"145.","Good Will Hunting","(1997)","126 min","Drama, Romance","8.3","966,109","$138.43M"
"146.","Federico Fellini's 8½","(1963)","138 min","Drama","8","118,759","$0.05M"
"147.","Spirited Away","(2001)","125 min","Animation, Adventure, Family","8.6","761,176","$10.06M"
"148.","La La Land","(2016)","128 min","Comedy, Drama, Music","8","587,184","$151.10M"
"149.","West Side Story","(1961)","153 min","Crime, Drama, Musical","7.6","114,844","$43.66M"
"150.","The Deer Hunter","(1978)","183 min","Drama, War","8.1","340,348","$48.98M"
"151.","M*A*S*H","(1970)","116 min","Comedy, Drama, War","7.4","73,810","$81.60M"
"152.","Beauty and the Beast","(1991)","84 min","Animation, Family, Fantasy","8","455,543","$218.97M"
"153.","The Lives of Others","(2006)","137 min","Drama, Mystery, Thriller","8.4","390,237","$11.29M"
"154.","The Artist","(I) (2011)","100 min","Comedy, Drama, Romance","7.9","242,170","$44.67M"
"155.","Whiplash","(2014)","106 min","Drama, Music","8.5","856,136","$13.09M"
"156.","The King's Speech","(2010)","118 min","Biography, Drama, History","8","681,472","$138.80M"
"157.","Invasion of the Body Snatchers","(1956)","80 min","Drama, Horror, Sci-Fi","7.7","50,838",""
"158.","Birdman or (The Unexpected Virtue of Ignorance)","(2014)","119 min","Comedy, Drama","7.7","630,650","$42.34M"
"159.","Manchester by the Sea","(2016)","137 min","Drama","7.8","283,606","$47.70M"
"160.","The Lord of the Rings: The Two Towers","(2002)","179 min","Action, Adventure, Drama","8.8","1,661,446","$342.55M"
"161.","Close Encounters of the Third Kind","(1977)","138 min","Drama, Sci-Fi","7.6","203,386","$132.09M"
"162.","Brooklyn","(2015)","117 min","Drama, Romance","7.5","143,322","$38.32M"
"163.","Million Dollar Baby","(2004)","132 min","Drama, Sport","8.1","687,744","$100.49M"
"164.","Das Boot","(1981)","149 min","Drama, War","8.4","251,779","$11.49M"
"165.","Hell or High Water","(II) (2016)","102 min","Crime, Drama, Thriller","7.6","232,399","$26.86M"
"166.","Ordinary People","(1980)","124 min","Drama","7.7","52,920","$54.80M"
"167.","The Pianist","(2002)","150 min","Biography, Drama, Music","8.5","830,232","$32.57M"
"168.","Come and See","(1985)","142 min","Drama, Thriller, War","8.4","80,629",""
"169.","Cinema Paradiso","(1988)","155 min","Drama, Romance","8.5","261,617","$11.99M"
"170.","His Girl Friday","(1940)","92 min","Comedy, Drama, Romance","7.8","59,396","$0.30M"
"171.","Harold and Maude","(1971)","91 min","Comedy, Drama, Romance","7.9","78,106",""
"172.","Witness for the Prosecution","(1957)","116 min","Crime, Drama, Mystery","8.4","126,169","$8.18M"
"173.","Paths of Glory","(1957)","88 min","Drama, War","8.4","198,126",""
"174.","Stand by Me","(1986)","89 min","Adventure, Drama","8.1","404,764","$52.29M"
"175.","Eternal Sunshine of the Spotless Mind","(2004)","108 min","Drama, Romance, Sci-Fi","8.3","1,006,241","$34.40M"
"176.","Barry Lyndon","(1975)","185 min","Adventure, Drama, War","8.1","169,044",""
"177.","Amadeus","(1984)","160 min","Biography, Drama, Music","8.4","401,718","$51.97M"
"178.","Oldboy","(2003)","120 min","Action, Drama, Mystery","8.4","579,178","$0.71M"
"179.","The Lion King","(1994)","88 min","Animation, Adventure, Drama","8.5","1,055,462","$422.78M"
"180.","Boyhood","(I) (2014)","165 min","Drama","7.9","355,435","$25.38M"
"181.","Argo","(2012)","120 min","Biography, Drama, Thriller","7.7","615,720","$136.03M"
"182.","Thelma & Louise","(1991)","130 min","Adventure, Crime, Drama","7.5","156,770","$45.36M"
"183.","A Matter of Life and Death","(1946)","104 min","Drama, Fantasy, Romance","8","22,424",""
"184.","Manhattan","(1979)","96 min","Comedy, Drama, Romance","7.9","141,108","$45.70M"
"185.","The Life and Death of Colonel Blimp","(1943)","163 min","Drama, Romance, War","8","15,110",""
"186.","The Great Escape","(1963)","172 min","Adventure, Drama, History","8.2","245,410","$12.10M"
"187.","Spartacus","(1960)","197 min","Adventure, Biography, Drama","7.9","135,856","$30.00M"
"188.","Monty Python and the Holy Grail","(1975)","91 min","Adventure, Comedy, Fantasy","8.2","542,235","$1.23M"
"189.","Brazil","(1985)","132 min","Drama, Sci-Fi","7.9","201,917","$9.93M"
"190.","Magnolia","(1999)","188 min","Drama","8","313,899","$22.46M"
"191.","Tootsie","(1982)","116 min","Comedy, Drama, Romance","7.4","108,047","$177.20M"
"192.","The Departed","(2006)","151 min","Crime, Drama, Thriller","8.5","1,321,691","$132.38M"
"193.","Arrival","(II) (2016)","116 min","Drama, Mystery, Sci-Fi","7.9","694,323","$100.55M"
"194.","Casino Royale","(2006)","144 min","Action, Adventure, Thriller","8","658,343","$167.45M"
"195.","When Harry Met Sally","(1989)","95 min","Comedy, Drama, Romance","7.7","222,390","$92.82M"
"196.","Slumdog Millionaire","(2008)","120 min","Crime, Drama, Romance","8","845,830","$141.32M"
"197.","Blue Velvet","(1986)","120 min","Crime, Drama, Mystery","7.7","200,847","$8.55M"
"198.","The King of Comedy","(1982)","109 min","Comedy, Crime, Drama","7.8","105,129","$2.50M"
"199.","The Breakfast Club","(1985)","97 min","Comedy, Drama","7.8","400,039","$45.88M"
"200.","WALL·E","(2008)","98 min","Animation, Adventure, Family","8.4","1,113,514","$223.81M"
"201.","Inside Out","(I) (2015)","95 min","Animation, Adventure, Comedy","8.2","712,529","$356.46M"
"202.","Ferris Bueller's Day Off","(1986)","103 min","Comedy","7.8","360,121","$70.14M"
"203.","Easy Rider","(1969)","95 min","Adventure, Drama","7.3","110,981","$41.73M"
"204.","Young Frankenstein","(1974)","106 min","Comedy","8","159,719","$86.30M"
