"Ranking","Name","Year","Minutes","Genre","Rating","Votes","Gross"
"299.","Ran","(1985)","162 min","Action, Drama, War","8.2","126,432","$4.14M"
"300.","The Hunt","(2012)","115 min","Drama","8.3","330,746","$0.69M"
"301.","Days of Heaven","(1978)","94 min","Drama, Romance","7.8","58,840",""
"302.","Braveheart","(1995)","178 min","Biography, Drama, History","8.4","1,036,814","$75.60M"
"303.","Harry Potter and the Deathly Hallows: Part 2","(2011)","130 min","Adventure, Family, Fantasy","8.1","873,536","$381.01M"
"304.","Room","(I) (2015)","118 min","Drama, Thriller","8.1","421,340","$14.68M"
"305.","Django Unchained","(2012)","165 min","Drama, Western","8.4","1,547,398","$162.81M"
"306.","Rushmore","(1998)","93 min","Comedy, Drama, Romance","7.6","186,791","$17.11M"
"307.","Get Out","(I) (2017)","104 min","Horror, Mystery, Thriller","7.7","609,305","$176.04M"
"308.","Scarface","(1983)","170 min","Crime, Drama","8.3","839,821","$45.60M"
"309.","Inglourious Basterds","(2009)","153 min","Adventure, Drama, War","8.3","1,443,620","$120.54M"
"310.","Drive","(I) (2011)","100 min","Action, Drama","7.8","640,673","$35.06M"
"311.","Star Wars: Episode VII - The Force Awakens","(2015)","138 min","Action, Adventure, Sci-Fi","7.8","930,209","$936.66M"
"312.","The Seventh Seal","(1957)","96 min","Drama, Fantasy","8.1","186,140",""
"313.","The Handmaiden","(2016)","145 min","Drama, Romance, Thriller","8.1","148,313","$2.01M"
"314.","The Truman Show","(1998)","103 min","Comedy, Drama","8.2","1,078,281","$125.62M"
"315.","Mulholland Drive","(2001)","147 min","Drama, Mystery, Thriller","7.9","357,098","$7.22M"
"316.","Life of Brian","(1979)","94 min","Comedy","8","400,746","$20.05M"
"317.","The Exorcist","(1973)","122 min","Horror","8.1","409,325","$232.91M"
"318.","Aladdin","(1992)","90 min","Animation, Adventure, Comedy","8","420,647","$217.35M"
"319.","The Wolf of Wall Street","(2013)","180 min","Biography, Comedy, Crime","8.2","1,402,646","$116.90M"
"320.","Donnie Darko","(2001)","113 min","Drama, Mystery, Sci-Fi","8","801,973","$1.48M"
"321.","Before Sunrise","(1995)","101 min","Drama, Romance","8.1","309,107","$5.54M"
"322.","Let the Right One In","(2008)","114 min","Drama, Fantasy, Horror","7.9","218,770","$2.12M"
"323.","The Bourne Ultimatum","(2007)","115 min","Action, Mystery, Thriller","8","635,908","$227.47M"
"324.","The Celebration","(1998)","105 min","Drama","8.1","87,754","$1.65M"
"325.","Ratatouille","(2007)","111 min","Animation, Adventure, Comedy","8.1","735,673","$206.45M"
"326.","JFK","(1991)","189 min","Drama, History, Thriller","8","157,430","$70.41M"
"327.","The Jungle Book","(1967)","78 min","Animation, Adventure, Comedy","7.6","184,439","$141.84M"
"328.","The Bandit","(1996)","128 min","Crime, Drama, Thriller","8.1","70,326",""
"329.","Children of Men","(2006)","109 min","Action, Drama, Sci-Fi","7.9","501,938","$35.55M"
"330.","The Social Network","(2010)","120 min","Biography, Drama","7.8","703,339","$96.96M"
"331.","Princess Mononoke","(1997)","134 min","Animation, Action, Adventure","8.4","394,931","$2.38M"
"332.","Ikiru","(1952)","143 min","Drama","8.3","79,200","$0.06M"
"333.","The Incredibles","(2004)","115 min","Animation, Action, Adventure","8","736,944","$261.44M"
"334.","Untouchable","(2011)","112 min","Biography, Comedy, Drama","8.5","856,286","$13.18M"
"335.","The Elephant Man","(1980)","124 min","Biography, Drama","8.2","242,292",""
"336.","In the Name of the Father","(1993)","133 min","Biography, Crime, Drama","8.1","176,082","$25.01M"
"337.","Kill Bill: Vol. 1","(2003)","111 min","Action, Crime, Drama","8.2","1,113,629","$70.10M"
"338.","Blade Runner 2049","(2017)","164 min","Action, Drama, Mystery","8","571,511","$92.05M"
"339.","Skyfall","(2012)","143 min","Action, Adventure, Thriller","7.8","697,801","$304.36M"
"340.","The Blues Brothers","(1980)","133 min","Action, Adventure, Comedy","7.9","201,021","$57.23M"
"341.","The Secret in Their Eyes","(2009)","129 min","Drama, Mystery, Romance","8.2","210,579","$6.39M"
"342.","Groundhog Day","(1993)","101 min","Comedy, Drama, Fantasy","8.1","631,712","$70.91M"
"343.","Yojimbo","(1961)","110 min","Action, Drama, Thriller","8.2","123,683",""
"344.","American Graffiti","(1973)","110 min","Comedy, Drama","7.4","91,289","$115.00M"
"345.","Crimes and Misdemeanors","(1989)","104 min","Comedy, Drama","7.8","58,504","$18.25M"
"346.","Amores perros","(2000)","154 min","Drama, Thriller","8.1","241,396","$5.38M"
"347.","Howl's Moving Castle","(2004)","119 min","Animation, Adventure, Family","8.2","395,534","$4.71M"
"348.","Gandhi","(1982)","191 min","Biography, Drama, History","8.1","232,543","$52.77M"
"349.","My Neighbour Totoro","(1988)","86 min","Animation, Comedy, Family","8.1","339,903","$1.11M"
"350.","Notorious","(1946)","102 min","Drama, Film-Noir, Romance","7.9","101,946","$10.46M"
"351.","Judgment at Nuremberg","(1961)","179 min","Drama, War","8.3","78,270",""
"352.","Sweet Smell of Success","(1957)","96 min","Drama, Film-Noir","8","32,789",""
"353.","Mary and Max","(2009)","92 min","Animation, Comedy, Drama","8.1","178,003",""
"354.","Her","(2013)","126 min","Drama, Romance, Sci-Fi","8","613,530","$25.57M"
"355.","Incendies","(2010)","131 min","Drama, Mystery","8.3","178,491","$6.86M"
"356.","Strangers on a Train","(1951)","101 min","Crime, Drama, Film-Noir","7.9","134,794","$7.63M"
"357.","Sin City","(2005)","124 min","Crime, Thriller","8","770,348","$74.10M"
"358.","Lock, Stock and Two Smoking Barrels","(1998)","107 min","Action, Comedy, Crime","8.2","582,843","$3.90M"
"359.","The Favourite","(2018)","119 min","Biography, Comedy, Drama","7.5","201,498","$34.37M"
"360.","Before Midnight","(2013)","109 min","Drama, Romance","7.9","159,423","$8.11M"
"361.","A Beautiful Mind","(2001)","135 min","Biography, Drama","8.2","931,865","$170.74M"
"362.","Carlito's Way","(1993)","144 min","Crime, Drama, Thriller","7.9","219,754","$36.95M"
"363.","The Untouchables","(1987)","119 min","Crime, Drama, Thriller","7.8","311,328","$76.27M"
"364.","Casino","(1995)","178 min","Crime, Drama","8.2","520,653","$42.44M"
"365.","Gran Torino","(2008)","116 min","Drama","8.1","776,041","$148.10M"
"366.","Memories of Murder","(2003)","131 min","Crime, Drama, Mystery","8.1","185,107","$0.01M"
"367.","Hacksaw Ridge","(2016)","139 min","Biography, Drama, History","8.1","525,245","$67.21M"
"368.","Silver Linings Playbook","(2012)","122 min","Comedy, Drama, Romance","7.7","710,481","$132.09M"
"369.","Little Miss Sunshine","(2006)","101 min","Comedy, Drama","7.8","482,834","$59.89M"
"370.","Nights of Cabiria","(1957)","110 min","Drama","8.1","49,494","$0.75M"
"371.","Into the Wild","(2007)","148 min","Adventure, Biography, Drama","8.1","623,870","$18.35M"
"372.","Dunkirk","(2017)","106 min","Action, Drama, History","7.8","657,797","$188.37M"
"373.","Shoplifters","(2018)","121 min","Crime, Drama, Thriller","7.9","77,426","$3.31M"
"374.","Stalker","(1979)","162 min","Drama, Sci-Fi","8.1","135,043","$0.23M"
"375.","Les Diaboliques","(1955)","117 min","Crime, Drama, Horror","8.1","66,407","$1.09M"
"376.","Hot Fuzz","(2007)","121 min","Action, Comedy, Mystery","7.8","506,999","$23.64M"
"377.","Gone Girl","(2014)","149 min","Drama, Mystery, Thriller","8.1","980,649","$167.77M"
"378.","Hotel Rwanda","(2004)","121 min","Biography, Drama, History","8.1","356,564","$23.53M"
"379.","Wild Tales","(2014)","122 min","Comedy, Drama, Thriller","8.1","199,263","$3.11M"
"380.","The Grand Budapest Hotel","(2014)","99 min","Adventure, Comedy, Crime","8.1","808,027","$59.10M"
"381.","Prisoners","(2013)","153 min","Crime, Drama, Mystery","8.1","710,292","$61.00M"
"382.","Persona","(1966)","85 min","Drama, Thriller","8.1","119,649",""
"383.","Toy Story 2","(1999)","92 min","Animation, Adventure, Comedy","7.9","581,768","$245.85M"
"384.","Short Term 12","(2013)","96 min","Drama","7.9","88,382","$1.01M"
"385.","The Martian","(2015)","144 min","Adventure, Drama, Sci-Fi","8","853,065","$228.43M"
"386.","Rush","(I) (2013)","123 min","Action, Biography, Drama","8.1","480,578","$26.95M"
"387.","Hachi: A Dog's Tale","(2009)","93 min","Biography, Drama, Family","8.1","285,952",""
"388.","Dawn of the Dead","(1978)","127 min","Horror, Thriller","7.8","122,162","$5.10M"
"389.","Catch Me If You Can","(2002)","141 min","Biography, Crime, Drama","8.1","979,510","$164.62M"
"390.","Akira","(1988)","124 min","Animation, Action, Drama","8","187,724","$0.55M"
"391.","Paper Moon","(1973)","102 min","Comedy, Crime, Drama","8.1","48,333","$30.93M"
"392.","Infernal Affairs","(2002)","101 min","Action, Crime, Drama","8","125,488","$0.17M"
"393.","Mary Poppins","(1964)","139 min","Comedy, Family, Fantasy","7.8","173,991","$102.27M"
"394.","Dog Day Afternoon","(1975)","125 min","Biography, Crime, Drama","8","258,298","$50.00M"
"395.","The Triplets of Belleville","(2003)","80 min","Animation, Adventure, Comedy","7.7","54,879","$7.00M"
"396.","Wings of Desire","(1987)","128 min","Drama, Fantasy, Romance","8","71,812","$3.33M"
"397.","What Ever Happened to Baby Jane?","(1962)","134 min","Drama, Horror, Thriller","8","57,249","$4.05M"
"398.","Anomalisa","(2015)","90 min","Animation, Comedy, Drama","7.2","72,442","$3.76M"
"399.","Edward Scissorhands","(1990)","105 min","Drama, Fantasy, Romance","7.9","492,709","$56.36M"
"400.","Ghostbusters","(1984)","105 min","Action, Comedy, Fantasy","7.8","416,849","$238.63M"
"401.","Halloween","(1978)","91 min","Horror, Thriller","7.7","282,519","$47.00M"
"402.","Fantastic Mr. Fox","(2009)","87 min","Animation, Adventure, Comedy","7.9","233,687","$21.00M"
"403.","The Help","(2011)","146 min","Drama","8.1","460,105","$169.71M"
"404.","Dazed and Confused","(1993)","103 min","Comedy","7.6","185,433","$7.99M"
"405.","The Nightmare Before Christmas","(1993)","76 min","Animation, Family, Fantasy","7.9","341,309","$75.08M"
"406.","In the Mood for Love","(2000)","98 min","Drama, Romance","8.1","150,943","$2.73M"
"407.","The Iron Giant","(1999)","86 min","Animation, Action, Adventure","8.1","199,248","$23.16M"
"408.","Avengers Assemble","(2012)","143 min","Action, Adventure, Sci-Fi","8","1,388,848","$623.28M"
"409.","Forbidden Planet","(1956)","98 min","Adventure, Sci-Fi","7.5","50,062","$3.00M"
"410.","Wild Strawberries","(1957)","91 min","Drama, Romance","8.1","108,101",""
"411.","The Man Who Shot Liberty Valance","(1962)","123 min","Drama, Western","8.1","76,788",""
"412.","Andaz Apna Apna","(1994)","160 min","Action, Comedy, Romance","8","53,678",""
"413.","Nausicaä of the Valley of the Wind","(1984)","117 min","Animation, Adventure, Sci-Fi","8","170,193","$0.50M"
"414.","Letters from Iwo Jima","(2006)","141 min","Action, Adventure, Drama","7.9","163,737","$13.76M"
"415.","Hero","(2002)","120 min","Action, Adventure, Drama","7.9","182,204","$53.71M"
"416.","Paris, Texas","(1984)","145 min","Drama","8.1","107,292","$2.18M"
"417.","Fanny and Alexander","(1982)","188 min","Drama","8.1","64,189","$4.97M"
"418.","Mystic River","(2003)","138 min","Crime, Drama, Mystery","7.9","457,859","$90.14M"
"419.","Baby Driver","(2017)","113 min","Action, Crime, Drama","7.6","538,452","$107.83M"
"420.","Snatch","(2000)","104 min","Comedy, Crime","8.2","855,662","$30.33M"
"421.","Warrior","(2011)","140 min","Action, Drama, Sport","8.2","473,291","$13.66M"
"422.","Sling Blade","(1996)","135 min","Drama","8","94,658","$24.48M"
"423.","Underground","(1995)","170 min","Comedy, Drama, Fantasy","8.1","58,837","$0.17M"
"424.","Cat on a Hot Tin Roof","(1958)","108 min","Drama","7.9","50,179","$17.57M"
"425.","Elite Squad","(2007)","115 min","Action, Crime, Drama","8","104,858","$0.01M"
"426.","V for Vendetta","(2005)","132 min","Action, Drama, Sci-Fi","8.2","1,121,380","$70.51M"
"427.","Le Samouraï","(1967)","105 min","Crime, Drama","8","52,231","$0.04M"
"428.","Spider-Man: Into the Spider-Verse","(2018)","117 min","Animation, Action, Adventure","8.4","526,106","$190.24M"
"429.","Spring, Summer, Fall, Winter... And Spring","(2003)","103 min","Drama, Romance","8","83,558","$2.38M"
"430.","The Legend of 1900","(1998)","169 min","Drama, Music, Romance","8","65,014","$0.26M"
"431.","About Elly","(2009)","119 min","Drama, Mystery","7.9","53,959","$0.11M"
"432.","Adaptation.","(2002)","115 min","Comedy, Drama","7.7","193,912","$22.25M"
"433.","Lady Bird","(2017)","94 min","Comedy, Drama","7.4","291,889","$48.96M"
"434.","Dances with Wolves","(1990)","181 min","Adventure, Drama, Western","8","266,648","$184.21M"
"435.","The Message","(1976)","177 min","Biography, Drama, History","8.1","48,113",""
"436.","Rififi","(1955)","118 min","Crime, Drama, Thriller","8.1","34,770","$0.06M"
"437.","Logan","(2017)","137 min","Action, Drama, Sci-Fi","8.1","762,000","$226.28M"
"438.","Elite Squad 2: The Enemy Within","(2010)","115 min","Action, Crime, Drama","8","83,608","$0.10M"
"439.","3-Iron","(2004)","88 min","Crime, Drama, Romance","7.9","55,655","$0.24M"
"440.","Sherlock Jr.","(1924)","45 min","Action, Comedy, Romance","8.2","50,678","$0.98M"
"441.","Ace in the Hole","(1951)","111 min","Drama, Film-Noir","8.1","36,484","$3.97M"
"442.","Edge of Tomorrow","(2014)","113 min","Action, Adventure, Sci-Fi","7.9","678,972","$100.21M"
"443.","Star Trek","(2009)","127 min","Action, Adventure, Sci-Fi","7.9","604,641","$257.73M"
"444.","Harry Potter and the Prisoner of Azkaban","(2004)","142 min","Adventure, Family, Fantasy","7.9","633,987","$249.36M"
"445.","Bambi","(1942)","69 min","Animation, Adventure, Drama","7.3","144,344","$102.80M"
"446.","The Thin Man","(1934)","91 min","Comedy, Crime, Mystery","7.9","30,295",""
"447.","Moon","(2009)","97 min","Drama, Mystery, Sci-Fi","7.8","360,546","$5.01M"
"448.","Freaks","(1932)","64 min","Drama, Horror","7.8","47,143","$0.63M"
"449.","Twelve Monkeys","(1995)","129 min","Mystery, Sci-Fi, Thriller","8","619,067","$57.14M"
"450.","Samsara","(I) (2011)","102 min","Documentary, Music","8.4","36,299","$2.67M"
"451.","Persepolis","(2007)","96 min","Animation, Biography, Drama","8","95,532","$4.45M"
"452.","Neon Genesis Evangelion: The End of Evangelion","(1997)","87 min","Animation, Action, Drama","8","55,686",""
"453.","Evil Dead II","(1987)","84 min","Comedy, Horror","7.7","166,356","$5.92M"
"454.","Who Framed Roger Rabbit","(1988)","104 min","Animation, Adventure, Comedy","7.7","202,880","$156.45M"
"455.","Serenity","(2005)","119 min","Action, Adventure, Sci-Fi","7.8","297,163","$25.51M"
"456.","Throne of Blood","(1957)","110 min","Drama, History","8.1","52,700",""
"457.","Monsters, Inc.","(2001)","92 min","Animation, Adventure, Comedy","8.1","907,920","$289.92M"
"458.","La Strada","(1954)","108 min","Drama","8","63,667",""
"459.","Pink Floyd: The Wall","(1982)","95 min","Drama, Fantasy, Music","8","81,684","$22.24M"
"460.","Mad Max 2","(1981)","96 min","Action, Adventure, Sci-Fi","7.6","182,138","$12.47M"
"461.","Dallas Buyers Club","(2013)","117 min","Biography, Drama","7.9","489,614","$27.30M"
"462.","Winter Sleep","(2014)","196 min","Drama","8.1","52,057","$0.17M"
"463.","Ex Machina","(2014)","108 min","Drama, Sci-Fi, Thriller","7.7","546,194","$25.44M"
"464.","Isle of Dogs","(2018)","101 min","Animation, Adventure, Comedy","7.8","170,040","$32.02M"
"465.","Pirates of the Caribbean: The Curse of the Black Pearl","(2003)","143 min","Action, Adventure, Fantasy","8.1","1,125,642","$305.41M"
"466.","Kill Bill: Vol. 2","(2004)","137 min","Action, Crime, Thriller","8","756,702","$66.21M"
"467.","Hunt for the Wilderpeople","(2016)","101 min","Adventure, Comedy, Drama","7.8","131,580","$5.20M"
"468.","Zootropolis","(2016)","108 min","Animation, Adventure, Comedy","8","499,404","$341.27M"
"469.","Song of the Sea","(2014)","93 min","Animation, Adventure, Drama","8","59,005","$0.86M"
"470.","District 9","(2009)","112 min","Action, Sci-Fi, Thriller","7.9","683,122","$115.65M"
"471.","Night of the Living Dead","(1968)","96 min","Horror, Thriller","7.8","130,548","$0.09M"
"472.","How to Train Your Dragon","(2010)","98 min","Animation, Action, Adventure","8.1","739,804","$217.58M"
"473.","Mission: Impossible - Fallout","(2018)","147 min","Action, Adventure, Thriller","7.7","333,537","$220.16M"
"474.","Mirror","(1975)","107 min","Biography, Drama","8","47,459","$0.18M"
"475.","Shaun of the Dead","(2004)","99 min","Comedy, Horror","7.9","559,816","$13.54M"
"476.","The Revenant","(2015)","156 min","Action, Adventure, Drama","8","803,251","$183.64M"
"477.","Shrek","(2001)","90 min","Animation, Adventure, Comedy","7.9","677,295","$267.67M"
"478.","Interstellar","(2014)","169 min","Adventure, Drama, Sci-Fi","8.6","1,817,609","$188.02M"
"479.","Minority Report","(2002)","145 min","Action, Crime, Mystery","7.6","553,078","$132.07M"
"480.","Laputa: Castle in the Sky","(1986)","125 min","Animation, Adventure, Family","8","167,517",""
"481.","The Big Sick","(2017)","120 min","Comedy, Drama, Romance","7.5","136,487","$42.87M"
"482.","Cinderella","(1950)","74 min","Animation, Family, Fantasy","7.3","161,897","$85.00M"
"483.","My Fair Lady","(1964)","170 min","Drama, Family, Musical","7.8","96,280","$72.00M"
"484.","Waltz with Bashir","(2008)","90 min","Documentary, Animation, Biography","8","58,289","$2.28M"
"485.","Brief Encounter","(1945)","86 min","Drama, Romance","8","40,681",""
"486.","Ghost in the Shell","(1995)","83 min","Animation, Action, Crime","7.9","144,208","$0.52M"
"487.","Chungking Express","(1994)","102 min","Comedy, Crime, Drama","8","83,105","$0.60M"
"488.","Mommy","(I) (2014)","139 min","Drama","8","57,661","$3.49M"
"489.","The Prestige","(2006)","130 min","Drama, Mystery, Sci-Fi","8.5","1,329,348","$53.09M"
"490.","The Innocents","(1961)","100 min","Horror","7.8","31,009","$2.62M"
"491.","Black Swan","(2010)","108 min","Drama, Thriller","8","767,479","$106.95M"
"492.","The Hidden Fortress","(1958)","139 min","Action, Adventure, Drama","8.1","39,553",""
"493.","Hereditary","(2018)","127 min","Drama, Horror, Mystery","7.3","317,035","$44.07M"
"494.","Black Cat, White Cat","(1998)","127 min","Comedy, Crime, Romance","8","54,330","$0.35M"
"495.","Sleuth","(1972)","138 min","Mystery, Thriller","8","48,106","$4.08M"
"496.","Coco","(I) (2017)","105 min","Animation, Adventure, Comedy","8.4","506,237","$209.73M"
"497.","Predator","(1987)","107 min","Action, Adventure, Horror","7.8","424,854","$59.74M"
"498.","My Sassy Girl","(2001)","137 min","Comedy, Drama, Romance","8","48,573",""
"499.","Dead Poets Society","(1989)","128 min","Comedy, Drama","8.1","491,235","$95.86M"
"500.","Breakfast at Tiffany's","(1961)","115 min","Comedy, Drama, Romance","7.6","181,599",""
"501.","Hidden Figures","(2016)","127 min","Biography, Drama, History","7.8","231,226","$169.61M"
"502.","The Imitation Game","(2014)","114 min","Biography, Drama, Thriller","8","769,480","$91.13M"
"503.","Shutter Island","(2010)","138 min","Mystery, Thriller","8.2","1,309,105","$128.01M"
"504.","Lincoln","(2012)","150 min","Biography, Drama, History","7.3","261,725","$182.21M"
"505.","The Perks of Being a Wallflower","(2012)","103 min","Drama","7.9","513,039","$17.74M"
"506.","A Fistful of Dollars","(1964)","99 min","Action, Drama, Western","7.9","218,637","$14.50M"
"507.","Zero Dark Thirty","(2012)","157 min","Drama, History, Thriller","7.4","302,655","$95.72M"
"508.","A Place in the Sun","(1951)","122 min","Drama, Romance","7.7","23,049",""
"509.","American Hustle","(2013)","138 min","Crime, Drama","7.2","480,115","$150.12M"
"510.","Rain Man","(1988)","133 min","Drama","8","515,371","$178.80M"
"511.","Giant","(1956)","201 min","Drama, Western","7.6","39,658",""
"512.","Cinderella Man","(2005)","144 min","Biography, Drama, Romance","8","189,036","$61.65M"
"513.","From Here to Eternity","(1953)","118 min","Drama, Romance, War","7.6","47,598","$30.50M"
"514.","Walk the Line","(2005)","136 min","Biography, Drama, Music","7.8","252,498","$119.52M"
"515.","The Last Emperor","(1987)","163 min","Biography, Drama, History","7.7","104,338","$43.98M"
"516.","Mutiny on the Bounty","(1935)","132 min","Adventure, Biography, Drama","7.7","23,353",""
"517.","The Longest Day","(1962)","178 min","Action, Drama, History","7.7","56,464","$39.10M"
